Date	Open	High	Low	Close	Volume	Adj Close			
30/11/2006	6084.4	6108.9	6043.9	6048.8	1785469200	6048.8			
01/12/2006	6048.8	6087.4	5985.2	6021.5	1805651200	6021.5			
04/12/2006	6021.5	6058.1	6019.4	6050.4	1286179500	6050.4			
05/12/2006	6050.4	6097.4	6047.1	6086.4	1747636800	6086.4			
06/12/2006	6086.4	6105.7	6068.1	6090.3	1657440700	6090.3			
07/12/2006	6090.3	6145.3	6082.8	6131.5	1715884800	6131.5			
08/12/2006	6131.5	6157.1	6106.6	6152.4	1632000300	6152.4			
11/12/2006	6152.4	6187	6147.1	6159.8	1405243100	6159.8			
12/12/2006	6159.8	6164.8	6137.8	6156.4	1653482400	6156.4			
13/12/2006	6156.4	6196.6	6149.4	6192.5	1783762800	6192.5			
14/12/2006	6192.5	6230.6	6192.5	6228	1484146900	6228			
15/12/2006	6228	6271.4	6228	6260	2140440800	6260			
18/12/2006	6260	6269.1	6240.1	6247.4	1254247300	6247.4			
19/12/2006	6247.4	6247.4	6192	6203.9	1408300700	6203.9			
20/12/2006	6203.9	6240.1	6197.9	6198.6	1203981000	6198.6			
21/12/2006	6198.6	6203.5	6171.2	6183.7	1068612100	6183.7			
22/12/2006	6183.7	6191.1	6175.5	6190	475781100	6190			
27/12/2006	6190	6248.1	6190	6245.2	606891400	6245.2			
28/12/2006	6245.2	6258.7	6232.3	6240.9	512698400	6240.9			
29/12/2006	6240.9	6245.2	6207.6	6220.8	561961300	6220.8			
02/01/2007	6220.8	6312.5	6220.8	6310.9	1074946400	6310.9			
03/01/2007	6310.9	6322	6296	6319	1606892600	6319			
04/01/2007	6319	6319	6261	6287	1902875400	6287			
05/01/2007	6287	6287	6220.1	6220.1	1622439200	6220.1			
08/01/2007	6220.1	6246	6187	6194.2	1326700800	6194.2			
09/01/2007	6194.2	6218.5	6190.4	6196.1	2143699600	6196.1			
10/01/2007	6196.1	6196.1	6142	6160.7	1881991000	6160.7			
11/01/2007	6160.7	6233.1	6130.2	6230.1	2147062400	6230.1			
12/01/2007	6230.1	6247.6	6204.3	6239	1899868000	6239			
15/01/2007	6239	6279.7	6239	6263.5	1143652900	6263.5			
16/01/2007	6263.5	6266.4	6206.4	6215.7	1613624200	6215.7			
17/01/2007	6215.7	6227	6163.5	6204.5	1854154400	6204.5			
18/01/2007	6204.5	6257.2	6204.5	6210.3	1867057600	6210.3			
19/01/2007	6210.3	6243.3	6178	6237.2	1463593700	6237.2			
22/01/2007	6237.2	6270.9	6215.8	6218.4	1491780800	6218.4			
23/01/2007	6218.4	6240.7	6189.2	6227.6	1502967400	6227.6			
24/01/2007	6227.6	6320.9	6227.6	6314.8	1875850200	6314.8			
25/01/2007	6314.8	6335.1	6262.1	6269.3	1785913600	6269.3			
26/01/2007	6269.3	6271.4	6226.4	6228	1577128300	6228			
29/01/2007	6228	6253.7	6216	6239.9	1514653800	6239.9			
30/01/2007	6239.9	6250.1	6212.5	6242	1465861600	6242			
31/01/2007	6242	6257.3	6197.5	6203.1	2141167400	6203.1			
01/02/2007	6203.1	6300.3	6203.1	6282.2	2143964400	6282.2			
02/02/2007	6282.2	6329	6282.2	6310.9	2146065000	6310.9			
05/02/2007	6310.9	6328.9	6294.7	6317.9	1300078600	6317.9			
06/02/2007	6317.9	6369.7	6317.9	6346.3	1863241600	6346.3			
07/02/2007	6346.3	6379.8	6338.2	6369.5	1841128600	6369.5			
08/02/2007	6369.5	6375	6330.1	6346.4	1721451200	6346.4			
09/02/2007	6346.4	6395.4	6346.4	6382.8	1546436000	6382.8			
12/02/2007	6382.8	6383.1	6344.7	6353.5	1494281900	6353.5			
13/02/2007	6353.5	6381.8	6353.5	6381.8	1416286700	6381.8			
14/02/2007	6381.8	6421.2	6378.6	6421.2	1511242400	6421.2			
15/02/2007	6421.2	6435.3	6397.2	6433.3	1416697600	6433.3			
16/02/2007	6433.3	6439.2	6407.3	6419.5	1382320800	6419.5			
19/02/2007	6419.5	6451.4	6419.5	6444.4	924726700	6444.4			
20/02/2007	6444.4	6448.1	6392.4	6412.3	1556580500	6412.3			
21/02/2007	6412.3	6430.4	6352.1	6357.1	1769971000	6357.1			
22/02/2007	6357.1	6416	6357.1	6380.9	1757669200	6380.9			
23/02/2007	6380.9	6401.5	6357.1	6401.5	1661409800	6401.5			
26/02/2007	6401.5	6446.8	6401.5	6434.7	1468711700	6434.7			
27/02/2007	6434.7	6434.7	6270.5	6286.1	2044216000	6286.1			
